dataset,ablation,n,groups_n,protocol,auc,acc,ci_lo,ci_hi,null_mean,null_sd,p_value,B,min_attainable_p,ref_auc_t4,auc_delta_vs_t4,seconds
TruthfulQA,Full SURFACE6,1580,790.0,within_group_label_swap,0.7145016824226887,0.6892405063291139,0.6884671526998878,0.7380470677775997,0.49689777551674413,0.017342218320335216,9.999000099990002e-05,10000,9.999000099990002e-05,0.7145016824226887,0.0,14.1
TruthfulQA,No negation,1580,790.0,within_group_label_swap,0.5920765902900176,0.5822784810126582,0.5718895409389521,0.6133917841692037,0.49762047548469795,0.014186548495592997,0.0004997501249375312,2000,0.0004997501249375312,,,3.0
TruthfulQA,No hedging,1580,790.0,within_group_label_swap,0.7071703252683864,0.680379746835443,0.6812147692677455,0.7307137477968275,0.4972267897772793,0.017391690278864586,0.0004997501249375312,2000,0.0004997501249375312,,,3.0
TruthfulQA,No length+regularity,1580,790.0,within_group_label_swap,0.6737373818298349,0.6854430379746835,0.6500716031084761,0.696409689953533,0.4928929975164236,0.016484393266195795,0.0004997501249375312,2000,0.0004997501249375312,,,2.8
TruthfulQA-Audited,Full SURFACE6,952,476.0,within_group_label_swap,0.528301761881223,0.5220588235294118,0.5032475857990254,0.55684692994845,0.49643243591554265,0.01980540083034121,0.0476952304769523,10000,9.999000099990002e-05,0.528301761881223,0.0,10.1
RTE,Full SURFACE6,277,,plain_label_shuffle,0.5002614242392555,0.48736462093862815,0.43549105797001203,0.5710527818928222,0.49251399665376977,0.04621696781932203,0.45545445455454453,10000,9.999000099990002e-05,0.5002614242392555,0.0,8.0
SelfCheckGPT,Full SURFACE6,1908,238.0,within_group_label_swap,0.5800191292435177,0.7269392033542977,0.5471882954365336,0.6128876676127184,0.5490058956077921,0.014534553110257187,0.012598740125987402,10000,9.999000099990002e-05,0.5800191292435177,0.0,12.1
OpenBookQA,Full SURFACE6,2000,500.0,within_group_label_swap,0.541774,0.75,0.5288821333333333,0.5543624500000001,0.49883394433333333,0.009019522348328429,9.999000099990002e-05,10000,9.999000099990002e-05,0.541774,0.0,13.9
ANLI,Full SURFACE6,2132,,plain_label_shuffle,0.5593180738159353,0.5300187617260788,0.534177829609133,0.583650512880962,0.4978434411795765,0.016867131914083722,0.00019998000199980003,10000,9.999000099990002e-05,0.5593180738159353,0.0,12.4
BoolQ,Full SURFACE6,3270,,plain_label_shuffle,0.5246391293853518,0.618348623853211,0.5048379666381998,0.5459672213443528,0.49773124437087174,0.014186305684585876,0.0184981501849815,10000,9.999000099990002e-05,0.5246391293853518,0.0,14.9
BoolQ,No negation,3270,,plain_label_shuffle,0.5253628389455949,0.6186544342507645,0.505624190589129,0.5456185312233084,0.49762652799145546,0.014068505975358999,0.013993003498250875,2000,0.0004997501249375312,,,3.6
BoolQ,No hedging,3270,,plain_label_shuffle,0.5259276902809384,0.618960244648318,0.5061648323319685,0.5470670937229498,0.4977086984520966,0.013963941215737026,0.01199400299850075,2000,0.0004997501249375312,,,3.5
BoolQ,No length+regularity,3270,,plain_label_shuffle,0.5003258681234171,0.6211009174311927,0.4812101187612475,0.5206076427715459,0.4978782692684688,0.0030046794880556112,0.2518740629685157,2000,0.0004997501249375312,,,3.2
PIQA,Full SURFACE6,3676,1838.0,within_group_label_swap,0.508615866704714,0.5021762785636561,0.5010507492946039,0.5153091924384384,0.499258694665039,0.004935705206368089,0.021397860213978603,10000,9.999000099990002e-05,0.508615866704714,0.0,20.9
MultiRC,Full SURFACE6,4848,953.0,within_group_label_swap,0.5882473420548403,0.6047854785478548,0.5741709604811741,0.6013194989067521,0.4968609614223211,0.008247105239034389,9.999000099990002e-05,10000,9.999000099990002e-05,0.5882473420548403,0.0,23.9
SNLI,Full SURFACE6,6607,,plain_label_shuffle,0.5910741773946154,0.5583472075071894,0.577860284013777,0.6054490938015914,0.4983205045983207,0.009668155355494423,9.999000099990002e-05,10000,9.999000099990002e-05,0.5910741773946154,0.0,35.8
MultiNLI,Full SURFACE6,6692,,plain_label_shuffle,0.6408673462678163,0.622534369396294,0.6278492879305448,0.6550153914549621,0.49877077978967127,0.009672605436695333,9.999000099990002e-05,10000,9.999000099990002e-05,0.6408673462678163,0.0,33.9
FEVER,Full SURFACE6,13332,,plain_label_shuffle,0.5777823394400646,0.5475547554755475,0.5681585391870615,0.5865421982516081,0.49884214245569475,0.006897614456072029,9.999000099990002e-05,10000,9.999000099990002e-05,0.5777823394400646,0.0,69.9
HaluEval QA,Full SURFACE6,20000,10000.0,within_group_label_swap,0.972638465,0.94415,0.9702700754999999,0.974950482125,0.498977850183,0.00601537177020611,9.999000099990002e-05,10000,9.999000099990002e-05,0.972638465,0.0,105.8
HaluEval QA,No negation,20000,10000.0,within_group_label_swap,0.972544535,0.944,0.9701796215000001,0.9748589950000001,0.49878196208750003,0.00593592772013324,0.0004997501249375312,2000,0.0004997501249375312,,,20.7
HaluEval QA,No hedging,20000,10000.0,within_group_label_swap,0.9726308000000001,0.94425,0.9702634287499999,0.9749714316250001,0.49873951037250003,0.005979419718390564,0.0004997501249375312,2000,0.0004997501249375312,,,21.8
HaluEval QA,No length+regularity,20000,10000.0,within_group_label_swap,0.54376987,0.5415,0.539884775125,0.5477495815,0.4983262253074999,0.0026650392923526166,0.0004997501249375312,2000,0.0004997501249375312,,,17.9
VitaminC,Full SURFACE6,54012,18828.0,within_group_label_swap,0.5501280227576363,0.5826112715692809,0.547742675962347,0.5524569256486332,0.5501227882359083,0.0006385792591817975,0.49195080491950804,10000,9.999000099990002e-05,0.5501280227576363,0.0,273.1
VitaminC,No negation,54012,18828.0,within_group_label_swap,0.5501435584152683,0.5826112715692809,0.5477859194558365,0.5524824327538,0.5501542822480212,0.0006230168102723323,0.5012493753123438,2000,0.0004997501249375312,,,74.3
VitaminC,No hedging,54012,18828.0,within_group_label_swap,0.5496517326836197,0.5826297859734874,0.5472262280972594,0.5519688219200408,0.5496621067155814,0.0006244808298112957,0.504247876061969,2000,0.0004997501249375312,,,67.4
VitaminC,No length+regularity,54012,18828.0,within_group_label_swap,0.5027559712418863,0.5829075020365845,0.5004532771139756,0.5052081290429753,0.5026876562906333,0.00025818200663251027,0.39480259870064965,2000,0.0004997501249375312,,,55.9
