family,cohort,item_id,correct_full,correct_cleaned,correct_rand476_mean
Llama-3.2-3B,adv,2,0,0,0.0
Llama-3.2-3B,adv,3,1,0,0.5
Llama-3.2-3B,adv,4,0,0,0.0
Llama-3.2-3B,adv,7,0,0,0.0
Llama-3.2-3B,adv,10,1,1,0.8
Llama-3.2-3B,adv,12,0,0,0.1
Llama-3.2-3B,adv,14,0,1,0.0
Llama-3.2-3B,adv,17,1,1,0.6
Llama-3.2-3B,adv,18,0,0,0.1
Llama-3.2-3B,adv,23,1,1,0.2
Llama-3.2-3B,adv,24,0,1,0.4
Llama-3.2-3B,adv,26,0,0,0.0
Llama-3.2-3B,adv,29,0,1,0.0
Llama-3.2-3B,adv,32,0,0,0.0
Llama-3.2-3B,adv,33,0,1,0.1
Llama-3.2-3B,adv,34,1,1,0.8
Llama-3.2-3B,adv,35,0,0,0.3
Llama-3.2-3B,adv,36,0,0,0.0
Llama-3.2-3B,adv,38,0,0,0.0
Llama-3.2-3B,adv,39,0,0,0.0
Llama-3.2-3B,adv,3001,0,0,0.0
Llama-3.2-3B,adv,3002,1,1,0.6
Llama-3.2-3B,adv,3003,0,0,0.0
Llama-3.2-3B,adv,3004,0,0,0.0
Llama-3.2-3B,adv,3005,0,0,0.0
Llama-3.2-3B,adv,3006,1,1,0.8
Llama-3.2-3B,adv,3007,1,1,0.5
Llama-3.2-3B,adv,3008,0,0,0.0
Llama-3.2-3B,adv,3009,0,1,0.2
Llama-3.2-3B,adv,3010,0,0,0.0
Llama-3.2-3B,adv,3011,0,0,0.0
Llama-3.2-3B,adv,3012,1,0,0.9
Llama-3.2-3B,adv,3013,0,0,0.0
Llama-3.2-3B,adv,3015,0,0,0.0
Llama-3.2-3B,adv,3018,0,0,0.1
Llama-3.2-3B,adv,3019,0,0,0.0
Llama-3.2-3B,adv,3020,0,0,0.0
Llama-3.2-3B,adv,5002,1,1,1.0
Llama-3.2-3B,adv,5004,0,0,0.0
Llama-3.2-3B,adv,5006,0,0,0.6
Llama-3.2-3B,adv,5011,1,1,0.8
Llama-3.2-3B,adv,5013,0,0,0.0
Llama-3.2-3B,adv,5014,0,1,0.1
Llama-3.2-3B,adv,5015,1,1,0.6
Llama-3.2-3B,adv,5016,0,0,0.0
Llama-3.2-3B,adv,5018,1,1,0.5
Llama-3.2-3B,adv,5019,0,0,0.0
Llama-3.2-3B,adv,5020,1,1,0.5
Llama-3.2-3B,adv,6002,0,1,0.7
Llama-3.2-3B,adv,6003,0,0,0.0
Llama-3.2-3B,adv,6011,1,1,0.3
Llama-3.2-3B,adv,6014,1,1,0.6
Llama-3.2-3B,adv,6019,0,0,0.3
Llama-3.2-3B,adv,7002,0,0,0.0
Llama-3.2-3B,adv,7003,1,1,0.5
Llama-3.2-3B,adv,7005,1,1,1.0
Llama-3.2-3B,adv,7006,0,1,0.5
Llama-3.2-3B,adv,7008,0,1,0.2
Llama-3.2-3B,adv,7010,1,1,0.4
Llama-3.2-3B,adv,7011,0,1,0.5
Llama-3.2-3B,adv,7013,0,1,0.1
Llama-3.2-3B,adv,7014,0,0,0.0
Llama-3.2-3B,adv,7015,0,0,0.0
Llama-3.2-3B,adv,7016,1,1,0.6
Llama-3.2-3B,adv,7017,0,0,0.0
Llama-3.2-3B,adv,7018,0,0,0.0
Llama-3.2-3B,adv,7019,0,1,0.0
Llama-3.2-3B,adv,7020,0,0,0.0
Llama-3.2-3B,adv,8001,0,0,0.1
Llama-3.2-3B,adv,8002,0,1,0.0
Llama-3.2-3B,adv,8009,0,0,0.0
Llama-3.2-3B,adv,8012,0,0,0.1
Llama-3.2-3B,adv,8016,0,1,0.2
